SÕNA,NÄIDE,SARNASED,TASE
rahaühik,"USA rahaühik on dollar, Türgis aga liir","rahvalik, rahvastik, rahulik, rahvarohke, ühik",B1
rahe,Rahe rabiseb vastu katust,"rahu, raie, rase, tahe, vahe",B1
rahu,Kogu maailmas peaks valitsema rahu,"rahutu, rahvus, raju, raud, rahulik",A2
rahuldama,Kas sind rahuldaks niisugune elu,"rahulduma, rahuldav, rahustama, valdama, rahuldus",B1
rahulik,Mets on nii rahulik ja vaikne,"rahvuslik, rahulikult, rahvalik, rahumeeli, tahtlik",A2
rahulikult,"Kuulasin rahulikult, mis tal oli mulle öelda","tahtlikult, rahvuslik, teaduslikult, ulatuslikult, rahvuslill",A2
rahumeelne,Läbirääkimised konflikti rahumeelseks lahendamiseks,"rahumeelselt, rumeenlane, vastumeelne, rõõmsameelne, rahvuslane",B2
rahunema,"Ootame ära, millal ajad rahunevad","raugema, rajanema, raiuma, raudne, rõhuma",B2
rahutu,"Algas rahutu elu, vahetpidamata rändamine ühest kohast teise","rahutus, ruttu, rahvus, rahvuslus, tohutu",B2
rahvuskoondis,Eesti rahvuskoondis jäi turniiril neljandaks,"rahvuslind, rahvusloom, rahvustoit, rahvuslik, rahvuslus",B2
raie,Lankide ettevalmistamine raieks,"rase, ravi, riie, rike, ralli",C1
raiuma,Kunstnik on paljud aiaskulptuurid raiunud graniiti,"ravima, trauma, rammima, rassima, raugema",C1
rajama,"Kirjanik on oma teose rajanud tegelikele sündmustele, isiklikele läbielamustele","rajanema, vajama, varjama, äratama, saama",B1
rakendama,Uurimistöös on rakendatud mitmesuguseid meetodeid ja võtteid,"raskendama, rakenduma, rehkendama, ärandama, värskendama",B2
rakenduskõrgkool,Infotehnoloogia kolledž on eraõiguslik rakenduskõrgkool,"rakenduslik, vahendusel, rasedus, raskejõustik, vahendus",B2
rakenduslik,Teoreetilise ja rakendusliku iseloomuga uurimistööd,"uuenduslik, vaenulik, tähenduslik, seaduslik, teaduslik",B2
rakett,Kosmoselendudeks on vaja võimsaid rakette,"raskelt, raske, reket, regatt, reaktor",B2
rakk,Kingloom on ühest rakust koosnev organism,"vrakk, raske, rikki, takka, trikk",B2
rand,Ärge rannast kaugele ujuge,"raud, rind, veerand, võrrand, range",A2
raputama,Haaras vastasel rinnust ja raputas ägedalt,"riputama, ratsutama, vapustama, ruttama, uputama",B1
raske,Hobune veab rasket koormat,"raskelt, raskus, värske, raskendama, raskusaste",A1
raskelt,Praam istub vees raskelt ja kindlalt,"raudselt, teraselt, värskelt, reaalselt, sarnaselt",B1
raskus,Kangi abil saab suuri raskusi tõsta,"rass, värskus, raskusaste, tasku, trass",B1
raskusaste,Kuulmishäired võivad olla erineva raskusastmega,"riskantne, valusasti, rassima, rassism, rasvane",B2
rasv,Ostis paki rasva,"ravi, rasvane, rasvatu, ratas, ravim",B1
rasvane,Naise rasvase käsivarre ümber kõlksusid kuldvõrud,"tasane, rasvatu, reaalne, taevane, vastane",B1
ratas,Autol tuli üks ratas alt ära,"vastas, äratus, ratastool, riiakas, taas",A1
ratastool,Ratastoolis istuv invaliid,"vastaspool, reaktsioon, vastast, rool, tool",B1
ratifitseerima,Parlament ratifitseeris kahe maa vahelise piirilepingu,"realiseerima, tsiteerima, tituleerima, stabiliseerima, tsiviliseerima",C1
raud,"Küttis pliiti, nii et rauad punased","raudne, raudtee, raudselt, relvajõud, triikraud",B1
raudne,Ilma raudse distsipliinita pole sõjaväge,"raudtee, udune, uudne, õudne, raudselt",B1
reaalne,Kohtus süüdimõistmisel võib teda oodata reaalne vanglakaristus,"regionaalne, rebane, sealne, reaalselt, verbaalne",A2
reaalselt,"Küllap ta teab, mis on fantaasia ja mis reaalselt teostatav","realist, tavaliselt, spetsiaalselt, reaalsus, teraselt",B2
reaalsus,Põgeneb elu reaalsusest utoopiate maailma,"relvastus, realist, reostus, rohelus, rumalus",B2
reageerima,Kaotsiläinud koer reageerib nimele Tommi,"reguleerima, realiseerima, reageering, registreerima, restaureerima",B1
realiseerima,Hea korvpallur suudab realiseerida kõik vabavisked,"realiseeruma, registreerima, reguleerima, valideerima, stabiliseerima",B2
redel,Korstna juurde pääseb katusele kinnitatud redeliga,"reede, sedel, vedel, reegel, reid",B1
reeglistik,Kokku- ja lahkukirjutamise reeglistik,"repliik, ristmik, register, risti, ristiusk",B2
reetma,"Ta oli reetnud ema, isa ja kodu","veetma, rentima, reket, teema, reostama",B2
reform,Valmistatakse ette põhjalikku reformi koolisüsteemis,"reformima, rekord, rektor, refrään, torm",B1
regatt,Pärnus lõppes järjekordne Muhu väina regatt,"regulaator, segamatult, retsept, rängalt, targalt",B2
register,Register liigitab laevad klassidesse ning kehtestab laevade ehitus- ja kasutusnorme,"registreerima, registreering, registreeruma, reserv, röster",B2
registratuur,Polikliiniku registratuur,"struktuur, registreerima, registreering, registreeruma, statuut",B1
registreeruma,Laulupeost osavõtuks registreerus üle 400 koori,"restaureerima, reserveerima, rekonstrueerima, varieeruma, respekteerima",B2
regulatsioon,Laboris uuritakse inimese vereringe ja hingamise regulatsiooni iseärasusi,"spekulatsioon, resolutsioon, revolutsioon, ventilatsioon, retsensioon",B2
rehv,Taksojuht kõndis ümber auto ja kummardus rehve uurima,"relv, ärev, trahv, reserv, ärevil",B1
reisija,Laeval puudus täielik reisijate nimekiri,"reisima, riskima, ristima, revisjon, riisikas",B1
rekonstrueerima,Teadlased püüavad rekonstrueerida Sahara vanemat ajalugu,"restaureerima, reserveerima, respekteerima, reostuma, renoveerima",B2
relv,Piirivalvuritele osteti uus kogus Iisraeli relvi,"ärev, sirel, trell, relvajõud, relvastus",B1
renoveerima,Peatusime renoveeritud mõisahoones,"reserveerima, serveerima, tsenseerima, šokeerima, rentima",B2
reostama,Söökla reostas hoovi toidujäätmetega,"reostuma, seostama, teostama, roostetama, survestama",B2
reserv,Riigi toiduteravilja reserv,"serv, reserveerima, röster, respekt, retsept",B2
residents,Versailles' loss oli Prantsuse kuningate residentsiks,"tendents, respekt, rest, sent, side",B2
ressurss,Tehasel leidub kindlasti veel ressursse toodangu suurendamiseks,"sisustus, režissöör, seisus, stress, suurus",B1
režiim,Põhja süvendamine võib rikkuda järve looduslikku režiimi,"streikima, säästurežiim, riisuma, riivama, riivima",B2
retsept,Kirjutasin retsepti üles ning tegin kodus samasuguseid küpsiseid,"rätsep, seitse, tarbetekst, riietus, skeptik",B1
revolutsiooniline,Revolutsiooniline liikumine,"traditsiooniline, teoloogiline, sotsioloogiline, seltsiline, utoopiline",B2
rida,Päevaraamatus oli osa ridu punasega alla tõmmatud,"riid, rind, ridamisi, riidlema, rikas",A2
ridaelamu,Kahekorruseline ridaelamu,"valamu, ühiselamu, ridamisi, riidepuu, riietama",B1
riik,Tema hing on nüüd õndsate riigis,"riis, rike, risk, rivi, tiik",A2
riiklik,Frangi riigi lagunemisega tekkis hulk lühiealisi riiklikke moodustisi,"rikkalik, ristkülik, terviklik, riiklus, riisikas",B1
riisuma,Plikad riisusid end rannas paljaks,"rusuma, rikastuma, risustama, riivama, riivima",B2
riivama,"Sirutas end, nii et pea riivas lage","riivima, rivaal, viivitama, riskima, ristima",C1
rikastama,Röövitud saak rikastas hõimuladvikut,"rikastuma, risustama, uimastama, varastama, vigastama",B2
rikastuma,Milline minister ei võimaldaks sugulastel rikastuda,"rikkuma, ristima, tiksuma, saastuma, taastuma",B2
rikkumine,Ma ei andesta talle ilusa laudline rikkumist,"uurimine, rikkur, rikkus, ruumiline, tekkimine",B1
rikkus,Armastus on elu suurim rikkus,"trikk, väärikus, rohkus, tarkus, terviklikkus",B1
ringi,"Laev, vana koolimaja ehitati ringi","ringis, uuring, ringlus, ringtee, rivi",B1
ringlema,Tema kohta ringleb igasugu jutte,"ringlus, ringtee, tingima, tipnema, vingerdama",B2
rippuma,"Päike ripub juba õige madalal, madalas","riputama, uppuma, tippima, rumal, ärrituma",B1
risk,Hulljulgus ja risk võivad viia uutele avastustele,"rist, riskima, ristmik, risti, ristiusk",A2
rist,Ristideta hauad,"risti, turist, vist, ristima, ristmik",A2
risustama,Ärge risustage loodust,"sisustama, uisutama, võrdsustama, sisestama, suusatama",C1
rivi,Bussid hakkasid üksteise järel rivist välja kukkuma,"žürii, triip, uriin, rutiin, rõivas",B2
roheline,Nõlvak oli orasest roheline,"suhteline, teotahteline, rohelus, rohi, rohkelt",A1
rohi,Karjus astus läbi kastemärja rohu,"rohima, umbrohi, unerohi, rohke, rohkesti",A2
rool,Alkoholijoobes ei tohi rooli taha istuda,"roos, tool, vool, roolima, roosa",B1
roomama,Koopasse pääses ainult roomates,"surmama, tormama, voolama, roostetama, roosa",B1
roostetama,Pikal kriisiperioodil laskis kirjanik oma sulge roostetada,"sätestama, ruttama, soetama, teatama, toetama",B2
rula,"Toodetakse rulasid nii kiirlaskumiseks, tünnisõiduks kui ka slaalomiks","rull, sula, rullima, rumal, rumalalt",B2
rullima,Haavatul õnnestus end kõhuli rullida,"rulluisutama, sallima, tellima, rumal, üllitama",B2
rumalalt,Seda tegi ta küll rumalalt,"rumalus, rõõmsalt, säravalt, teravalt, valusalt",B1
rusikas,Laps peidab raha oma pisikesse rusikasse,"vürtsikas, sinikas, sisukas, sitikas, upsakas",B1
rusuma,Raske seljakott rusub õlgu,"uskuma, ruum, võrsuma, summa, ujuma",C1
ruuduline,Õues kõndis ruudulises hommikumantlis naine,"ruumiline, suuline, tuuline, usuline, udune",B1
ruum,Ühel hetkel olin väljaspool aega ja ruumi,"ruut, truu, tuum, trumm, ujuma",A1
ruumiline,"Uurib tähesüsteemi üksikobjektide ruumilist paigutust, materiaalse maailma ruumilisi suhteid","suuline, tuuline, ujumine, usuline, äriline",B2
rõhk,Rõhku mõõtma,"õhk, vererõhk, võhik, õhuke, rõhuma",B1
rähn,"Rähn trummeldab, põristab kuival oksal, vastu kuiva oksa","ränk, ränne, rändur, rännak, räpane",B2
räim,Kudemisajal tuleb räim rannavetesse,"räsima, rääkima, rämps, rätik, äi",B1
rändama,"Käsikiri rändas paberikorvi, trükikotta, arhiivi","ründama, ärandama, tänama, sätendama, tähendama",B2
rängalt,"Ta sai nii rängalt peksa, et jäi pikaks ajaks põdema","targalt, sarnaselt, tungivalt, rännak, siiralt",B2
räsima,Aastad on teda julmalt räsinud,"väsima, rääkima, röstima, trotsima, väsitama",C1
rätsep,Vanasti käisid rätsepad talust tallu,"seep, sepp, säte, tase, temp",B1
rääkima,Eesti keelt räägitakse üsna väikesel maa-alal,"rääkimata, räämas, röökima, rühkima, torkima",A1
röökima,Röögiti elagu ja hurraa,"röövima, ööbima, rühkima, torkima, sööma",C1
röövima,Raske töö on mehelt tervise röövinud,"ööbima, sirvima, värvima, sööma, trahvima",B1
rühkima,"Keegi rühib suurte sammudega, kiirel sammul siiapoole","trükkima, ühtima, rühm, torkima, trügima",C1
rühm,Klaabu lasteaias on kokku 6 rühma,"rüht, rütm, rühmatöö, rühmitus, sihtrühm",A2
rütm,Muusika võttis valsi rütmi,"rüüstama, rüütel, ühtima, ütlema, rüü",B1
saadik,Määrati saadiku ametikohale Berliini,"saak, suursaadik, saati, staadion, staadium",B1
saadus,"Viis turule oma majapidamise saadusi: võid, mune ja mett","saladus, saatus, seadus, sadu, sagedus",C1
saagima,Kaks meest saagisid palki,"vaagima, saama, saatma, sadama, sama",B1
saak,Kiskjad haistavad saaki juba kaugelt,"saal, saar, saba, sada, sama",B1
saama,Kas minu silmad seda enam näha saavad,"saatma, sadama, sama, saamatu, salgama",A1
saar,Jõesuudmes on palju saari,"staar, tsaar, saba, sada, sama",A2
saatekiri,"Perearst kirjutas haigele saatekirja röntgenisse, konsultatsiooniks eriarsti juurde, haiglasse uuringuteks","saatesari, saati, saatel, satelliit, väitekiri",B1
saatma,Teda saadeti mõneks aastaks välismaale tööle,"sadama, saavutama, salastama, sama, salgama",A2
saba,Koer ajab saba taga,"sada, sama, spaa, vaba, sadam",B1
sadam,Läänemere suurimad sadamad,"sadama, söandama, usaldama, seadma, sisaldama",A2
sagedamini,Tänapäeva külamiljöös näeb traktorit sagedamini kui hobust,"sagedane, segamini, sagedasti, sageli, sedasi",B2
sahver,Kass on sahvris koorekausi kallal käinud,"vaher, tahvel, vahvel, skanner, sviiter",B2
saladus,Pangad garanteerivad hoiuste saladuse,"usaldus, sisaldus, seadus, valdus, segadus",B1
salaja,"Salaja läksid nad ülakorrusele, kuigi ei tohtinud","salajane, salgama, salat, salakaup, salasõna",B1
samaaegselt,"Samaaegselt tahaks ma öelda, et nüüd võikski seda matka alustada","sarnaselt, üheaegselt, visuaalselt, õigeaegselt, üksmeelselt",B2
samamoodi,Konveieri juures töötades teed aina üht- ja samamoodi liigutusi,"samasooline, teistmoodi, samm, sodi, sanatoorium",B1
samas,Ta ütles paar sõna ja lahkus samas,"sammas, sammal, seadma, segama, sulama",B1
samm,Ta kuulis samme lähenemas,"svamm, sammal, sammas, sammuma, summa",A2
sanatoorium,Ehitati uus tuberkuloosihaigete sanatoorium,"solaarium, stsenaarium, sooritus, staadium, territoorium",B2
sandaal,Kannab sooja kuiva ilmaga sandaale,"skandaal, skandaalne, söandama, tasandama, signaal",B1
sanktsioon,Korrarikkujate suhtes rakendatavad sanktsioonid,"sektsioon, situatsioon, spekulatsioon, sessioon, traditsioon",B2
sarnaselt,Nad käituvad sarnaselt,"varasemalt, sarnasus, teraselt, visuaalselt, sihipäraselt",B2
sarv,Sõdalased puhusid sarvi ja põristasid trumme,"savi, serv, sigar, staar, start",B1
sassi,"Kui toa sassi ajate, siis peate ise ära koristama","sassis, seanss, sedasi, savi, seas",B2
sattuma,Sattus pettuste ja varguste pärast vanglasse,"suhtuma, sõltuma, sättima, süttima, toetuma",B1
saun,Üldkasutatav saun,"suund, usund, vagun, saunalava, seadus",A2
seadistama,"Laborit, automaatliini seadistama","seadustama, süüdistama, seostama, teadvustama, seadma",C1
seadus,Tal polnud ainsatki kokkupõrget seadustega,"segadus, teadus, seaduslik, seas, usuteadus",A2
seal,"Seal te nüüd olete: kui midagi ütled, kohe süda täis","sealt, sealne, sellal, seas, selg",A1
sealkandis,Sealkandis peaks palju vihma sadama,"siinkandis, seltskondlik, sealsamas, seltskond, supelrand",B2
sealne,Paukjärve ja sealne ümbrus,"segane, selline, seksuaalne, täisealine, sealt",B1
sealsamas,"Paat ajas end kord laineile püsti, sealsamas aga langes tagasi","seilama, seletama, seltsima, seostama, usaldama",B2
seanss,Õpilasi kinno õhtustele seanssidele ei lubatud,"seas, seast, šanss, sedasi, segane",B2
sebra,"Harilikult sööb sebra rohtu, mõnikord puulehti ja -koort","seeria, sperma, seriaal, serv, sära",B2
seedima,"Tunneb, et ülemus teda hästi ei seedi","seeria, seisma, sodima, sõdima, seilama",B2
seejärel,"Kõigepealt süütas ta tule, seejärel tõmbas kardinad ette","seepeale, sekretär, seeme, seire, sirel",B2
seeme,Kakaopuu oakujulised seemned,"skeem, seesmine, september, süsteemne, seen",B1
seen,Metsas kasvas sel aastal palju seeni,"stseen, seep, sees, sein, seni",A1
seenior,Seenioride tennisevõistlused,"seni, suveniir, seisukord, seeria, sektor",B2
seeria,Film kahes seerias,"seriaal, serveerima, skaneerima, sorteerima, stažeerima",B1
seestpoolt,Maja oli seestpoolt veel värvimata,"siitpoolt, sellegipoolest, väljastpoolt, ülespoole, sestap",B1
segadus,Plahvatuse järel tõusis üldine segadus,"sigadus, selgus, teadus, usuteadus, segu",B1
segama,"Segab puulusikaga putru, et see põhja ei kõrbeks","sügama, selgitama, seilama, selgima, selguma",A2
segamini,Segu saamiseks segage ained hästi segamini,"segane, senini, segi, sein, seminar",B1
segu,Keevale segule lisada õunad,"selgus, selg, semu, setu, sugu",B2
seiklema,Liisa seikleb ühest armastusest teise,"seilama, seiskuma, seisnema, seletama, sädelema",B2
sein,Remondi käigus seinu värvima,"senine, senini, seis, seni, sent",A1
seis,Keha sirge seis,"seisma, seisus, seitse, seniks, seks",B1
seisma,See seisis ammusest ajast asutuse kontos,"seisnema, seksima, selgima, suisa, seitsmes",A1
seisukoht,Kas sul on kontserdile iste- või seisukoht,"seisukord, sihtkoht, sisukord, seisus, sünnikoht",B1
seisund,Haige seisund muutus järjest viletsamaks,"seisus, sekund, sisu, sisukord, sisuline",B1
sekka,"Nähes poisse rüselemas, kargas kohe sekka","sekkuma, seksikas, seks, seksima, sekt",B2
sekkuma,"Rahvas ootab, et asjasse sekkuks valitsus","uskuma, seksima, selguma, sõeluma, tekkima",B1
sektsioon,Kultivaator koosnes viiest sektsioonist,"sessioon, spekulatsioon, tsoon, versioon, situatsioon",B2
seletama,Kuidas sa seletad luuletuse neid ridu,"seletamatu, selgitama, soetama, ületama, seltsima",B1
selgima,"Võttis aega, enne kui kohin kõrvades lakkas ja pea selgis","selgitama, selguma, seltsima, solkima, sulgema",C1
selgitama,Geoloogid on selgitanud meie maavarade leiukohad,"silitama, sülitama, säilitama, selguma, soetama",B1
seljakott,"Sõduri, matkaja, jahimehe seljakott","seljanka, seljataga, seljataha, skelett, seltsist",A2
seltsima,"Teda salliti, kuid temaga ei seltsitud","seltsimatu, seltsis, seltsiv, seltsist, võltsima",B2
seltsiv,Seltsivate inimestega on kerge suhelda,"silmitsi, seltskondlik, seltskond, seotus, spekulatsioon",B2
seltskond,Saabuti üksikult ja seltskondadena,"seltskondlik, võistkond, spekulatsioon, sõpruskond, teaduskond",A2
seltskondlik,Õpiti seltskondlikke tantse ja mänge,"ühiskondlik, vastandlik, tundlik, ühiskondlikult, vastutustundlik",B2
semester,Ladina keelt õppisime viis semestrit,"sentimeeter, sest, tsenter, spidomeeter, september",B2
seminar,Mäletan teda juba seminaris õppimise ajast,"sina, senat, sigar, sinna, sisemine",A2
sent,Ema andis poisile soola ostmiseks vajalikud sendid,"sest, setu, tsenter, soeng, stend",A1
seos,Majanduseksperimendi seos kokkuhoiuteemaga on veelgi rohkem esiplaanile tulnud,"seoses, seotus, sest, teos, seostama",B1
seriaal,Näidatakse palju ingliskeelseid seriaale,"signaal, spiraal, spordisaal, sertifikaat, spetsiaalne",B2
serv,Kopli servas sõid hobused rohtu,"serviis, surve, sõber, särav, terav",B2
serviis,Kaheteistkümne inimese serviis,"tervis, siis, viis, tervist, sidekriips",B2
sessioon,Instituudis toimus järjekordne germaani keeleteaduse sessioon,"versioon, spioon, spekulatsioon, visioon, situatsioon",B2
sibul,"Kergematel muldadel kasvavad paremini kurk, porgand, pastinaak, söögipeet, lill- ja spargelkapsas, aeduba, sibul ja enamik maitsetaimi","siil, sild, sile, silp, silt",A1
sidur,"Sidurit ühendama, lahutama","sidus, siduv, sõdur, siider, sõiduk",B2
sigar,"Ta mängis suurt härrat, sigar hambus ja viskiklaas ees","sigaret, signaal, siia, sina, sirguma",B2
sigaret,Tõmbas ühe sigareti teise järel,"sirgelt, sirel, sirge, start, sirkel",B1
siht,Marjulised jõudsid sihi äärde,"siit, silt, suht, sõit, sihtima",B1
sihtima,"Meie klassi meeskond sihtis võitu, võidule","sõitma, ühtima, siia, sirvima, sitikas",B2
sihvakas,Ilusat figuuri seostatakse sageli sihvakate jalgadega,"sinikas, sisukas, sitikas, sõjakas, sõnakas",B2
siil,"Siil turtsub, podiseb, tõmbub kerra","stiil, siin, siis, siit, sild",A2
siiralt,Ema rääkis lapsega siiralt oma tunnetest,"siiras, siit, silt, sirgelt, spiraal",B2
siis,"Te ei arva jus siis, et mina süüdi olen","siiski, siit, sisu, viis, sinikas",A1
sild,Libises võttest välja ja käis korraks üle silla,"sile, silp, silt, säilmed, silinder",A1
silinder,"Silindri põhjad, külgpind, kõrgus","sisuline, sinine, viiner, toksiline, skeptiline",B2
silitama,Vaikne muusika silitas kõrva,"säilitama, sülitama, sillutama, vilistama, silmama",B2
silt,Lugesin sildilt notari nime,"sõit, sült, sirgelt, usinalt, sirel",A2
sinatama,Meie majas sinatavad kõik üksteist,"sõnastama, sirutama, sobitama, sulatama, suvitama",B2
sinna,"Tallinn on kaugel, sinna on poole päeva tee","spinat, sinnapoole, sõna, tina, usin",A1
sinnapoole,"Tüdrukud astuvad sinnapoole, kus poisid juba ees","sissepoole, vasakpoolne, tahapoole, teispoole, vennapoeg",B2
sipelgas,"Sipelgas jookseb, sibab","vilgas, sirel, supelrand, sirkel, sperma",B1
sirkel,Ülesanne tuleb lahendada sirkli ja joonlaua abil,"tsikkel, sitke, sokkel, ärkvel, skelett",B2
sirutama,Kerjus sirutas kätt möödujate poole,"virutama, sisustama, sõidutama, tiirutama, sobitama",B2
sisaldama,Keedised sisaldavad vähem suhkrut kui toorhoidised,"sisalduma, teisaldama, usaldama, sisendama, valdama",B1
sisemine,"Riiki, ühiskonda lõhestavad suured sisemised vastuolud","sisene, suitsetamine, sisemiselt, sisenema, sisuline",B1
sisemus,Ta üritas sisemuses mäslevaid vastuolulisi tundeid kontrolli alla saada,"sisu, sisukas, suremus, väsimus, sissemakse",B2
sisendama,"Ta sisendab lugejasse veendumust, et need raamatud sisaldavad tõepoolest väärtusi","sisenema, õiendama, sisestama, sätendama, süvendama",B2
sisenema,Ta avas ukse ja sisenes tuppa,"suitsema, sügisene, süvenema, tihenema, täienema",B1
sisepoliitiline,Meid rõhuvad sisepoliitilised intriigid ja rivaalitsemine,"välispoliitiline, skeptiline, statistiline, sissepoole, süstemaatiline",B2
sisse,Toppis jala püksisäärest sisse,"sisseost, sissepääs, sissetung, sissekanne, sissemakse",A1
sissepoole,Aken käib lahti sissepoole,"teispoole, sissetulek, teispool, sissepääs, ühepoolne",B1
sissetulek,Otsib võimalusi oma sissetulekute suurendamiseks,"sissetung, toimetulek, sisuline, sisustus, tagasitulek",B1
sisukord,"Sisukord paiknes raamatu alguses, lõpus","ükskord, teistkordne, taaskord, ühiskond, teinekord",B1
sisustama,"Vaba aega sisustasid spordivõistlused, tantsuõhtud ja kontserdid","uisutama, sosistama, suusatama, sõidutama, tasustama",B2
skandaal,Esietendus põhjustas teatriringkondades skandaali,"skandaalne, söandama, tasandama, vastandama, värskendama",B1
skeem,Joonistas tahvlile paar skeemi,"skelett, süsteem, sädelema, sügelema, süvenema",B1
sobituma,"Sõnaelement peab sobituma oma keele sõnatüübistikku, siis saab teda käänata","toituma, soostuma, sodima, sõitma, toitma",B2
sodima,"Küll on soditud, iga rea peal tindiplekk","sõdima, solkima, soosima, soovima, sundima",B2
soe,"Soe ruum, mantel","soeng, soine, soome, sokkel, soo",B1
soine,Soised alad,"sooline, soliidne, soodne, suvine, tõsine",B2
solidaarsus,Teadlaste solidaarsus õpetajatega,"usaldamatus, solist, soodus, üldsus, sõidukaart",B2
solkima,Ära luba lapsel toitu solkida,"solvama, solvuma, soosima, soovima, sõlmima",C1
solvang,"Teenimatu, alatu, ränk solvang","vang, solvuma, soolane, soomlane, sportlane",B2
soojalt,Ta võttis meid soojalt vastu,"soolo, soovitavalt, sujuvalt, soojenema, soojustus",B2
soojendama,Ta hinge soojendavad vaid mälestused,"soojenema, soojendus, sätendama, süvendama, soojustama",B2
soolane,Supp on minu jaoks liiga soolane,"soomlane, sooline, sulane, sportlane, sümboolne",B1
sooritama,Kõik linnud sooritavad pikamaalende vastu tuult,"soovitama, sosistama, toonitama, soosima, soovima",B1
soov,See oli tema viimane soov,"soovima, soovitav, soovitus, tsoon, soovimatu",A1
soovima,Õed soovisid teineteisele head ööd,"soovimatu, soovitama, soovitav, süüvima, voolima",A1
sopp,Meie talu juures moodustab jõgi laiema sopi,"stopp, supp, topp, stipp, toppima",B2
sort,Minu isa aretatud sordid,"sport, tort, sportima, sportlik, start",A2
spekuleerima,Spekuleeris sõbra tunnetel,"stimuleerima, tituleerima, tsenseerima, struktureerima, sperma",B2
spordiklubi,Spordiklubi liikmed treenisid hoolega,"spordikool, spordisaal, spordivõistlus, sportlik, ööklubi",B1
sportima,Olen nooruses palju sportinud,"transportima, sportlik, startima, sportlane, sättima",B2
staar,Maailmakuulus operetilavade staar,"staaž, start, tatar, tsaar, standard",B2
start,"Lennuki, kosmoseraketi start","startima, statuut, stsenarist, takt, tara",B1
startima,Rahvusvahelisel poksiturniiril stardib sadakond poksijat kümnest riigist,"sättima, süttima, tarbima, tarnima, stažeerima",B1
stažeerima,Stipendiumi saaja läheb kuueks kuuks stažeerima Saksamaale,"tsiteerima, stimuleerima, tarbima, tarnima, teenima",B2
statistiline,"Statistiline hüpotees, kogum, rida, sõltuvus, seos, tõenäosus","statistiliselt, strateegiline, tasuline, taktikaline, temaatiline",B2
statistiliselt,Kõik antropoloogilised iseloomustused kehtivad ainult statistiliselt,"strateegiliselt, suvaliselt, tavaliselt, teoreetiliselt, suhteliselt",B2
stiil,See lause on bürokraatliku stiili näide,"stiilne, stiimul, tekstiil, tiitel, tiib",B1
strateegiline,Turunduse strateegiline planeerimine,"strateegiliselt, traagiline, sünteetiline, süstemaatiline, taktikaline",B2
streikima,"Õpilased streigivad, nõuavad matemaatikaõpetaja väljavahetamist","triikima, tekkima, tikkima, torkima, tekitama",B2
struktureerima,Keel struktureerib tegelikkust,"tituleerima, struktuur, suurenema, tsiteerima, treenima",B2
struktuur,Tema tänitavas sõimus oli oma selge ja loogiline struktuur,"suhkur, traktor, truudus, suur, truu",B1
stseen,Naine tegi mehele truudusetuse pärast stseene,"teene, süsteemne, tee, teener, teenus",B2
suhe,ÜRO ja USA suhete paranemist ei oodata ka uue esindaja ajal,"suhtes, suht, sume, uhke, suhtleja",B1
suhtes,Olen 40a suhtes naine,"suhtlus, suits, suhtleja, suhtlema, usuteadus",B1
suhtuma,Suhtub oma töösse suure vastutustundega,"uhtuma, sujuma, suruma, suutma, sulguma",B1
suitsema,Singid pandi suitsema,"suitsetama, suvatsema, õitsema, suvitama, surema",B2
sujuvalt,Tantsijate jalad liikusid sujuvalt,"sõltuvalt, tunduvalt, suurelt, suva, suvaliselt",B2
sukelduma,Pärlipüüdjad sukelduvad päevas 30–40 korda,"sulanduma, uhkeldama, sulguma, sõeluma, suunduma",B2
sukk,Mustades sukkades tantsijanna,"suurtükk, suusk, trukk, sõiduk, tõstuk",B1
sula,Linikule tilkus sula küünlarasva,"sulama, sulane, suvila, suli, suva",B2
sulama,Tüdruku meelitused panid poisi kiiresti sulama,"sulatama, sulanduma, sulgema, sulguma, suplema",B1
sulanduma,Toimetulekukeskuse töötajad aitavad puuetega inimestel ühiskonda sulanduda,"suunduma, sulguma, sundima, tunduma, ulatuma",B2
sulane,Muinasjutt rikkast peremehest ja vaesest sulasest,"suuline, usuline, ülane, suvaline, sõdalane",B2
sulatama,Helilooja on oma meloodiatesse sulatanud rahvamuusika elemente,"ulatama, suusatama, ulatuma, suretama, suvitama",B1
sulgema,Pärismaalased suleti reservaatidesse,"sulguma, suplema, suudlema, surema, sulgpall",A2
summa,Lõputult kahanevate suuruste summa on lõpmatult kahanev suurus,"surema, suruma, suutma, sõudma, tasuma",A2
sundima,Halb ilm sundis lapsi toas olema,"sündima, suunduma, sõdima, sõudma, tundma",B1
suplema,Sooja ilmaga supeldi iga päev,"suudlema, surema, surematu, suretama, sädelema",B2
suretama,Arst suretas hambal närvi,"survestama, surfama, surmama, suurendama, suvitama",B2
surfama,Käib suvel Pirital surfamas,"surmama, suruma, särama, vurama, surm",B2
suruma,Meid kuuekesi suruti 3-kohalisse telki,"suutma, suunama, ujuma, suudlema, suunduma",B2
suuliselt,"Ta kandis oma teksti kõigile suuliselt ette, ümber kirjutada polnud vajagi","suvaliselt, suurelt, suupiste, tõsiselt, väliselt",B2
suunduma,"Jalgrada suundub parki, suurele teele, üle raudtee alevisse, kõrgemale mäkke","suundumus, tunduma, suurendama, uuendama, suutma",B2
suur,Suured veoautud tõkestasid tee,"suurus, suurelt, ülisuur, suuresti, suurkuju",A1
